#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( String )	

1	15:28:47.047	0.00772450	Mobile Partner	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
2	15:28:47.054	0.00002040	Mobile Partner	IOCTL_SERIAL_SET_QUEUE_SIZE         	COM4	SUCCESS	InSize: 4096, OutSize: 4096	
3	15:28:47.055	0.00001880	Mobile Partner	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 10, WriteTotalTimeoutConstant: 1000	
4	15:28:47.055	0.00000710	Mobile Partner	IOCTL_SERIAL_SET_WAIT_MASK          	COM4	SUCCESS	Mask: RXCHAR	
5	15:28:47.055	0.00001010	Mobile Partner	IOCTL_SERIAL_PURGE                  	COM4	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
6	15:28:47.055	0.00000710	Mobile Partner	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 115200	
7	15:28:47.055	0.00000660	Mobile Partner	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
8	15:28:47.055	0.00000980	Mobile Partner	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
9	15:28:47.055	0.00000740	Mobile Partner	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
10	15:28:47.055	0.00000630	Mobile Partner	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x0, XoffChar: 0x0	
11	15:28:47.055	0.00000890	Mobile Partner	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 0	
12	15:28:47.069	0.00020720	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 3, Data: AT.	
13	15:28:47.072	0.00001250	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 9, Data: AT...OK..	
14	15:28:47.094	0.00010970	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 12, Data: AT^REALNAME.	
15	15:28:47.097	0.00000660	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 12, Data: AT^REALNAME.	
16	15:28:47.111	0.00000720	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
17	15:28:48.077	0.00000860	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 12, Data: ..^RSSI:14..	
18	15:28:48.109	0.00019740	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 8, Data: AT+CGMM.	
19	15:28:48.112	0.00000810	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 8, Data: AT+CGMM.	
20	15:28:48.126	0.00000820	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 14, Data: ..E173....OK..	
21	15:28:48.134	0.00002240	Mobile Partner	IOCTL_SERIAL_PURGE                  	COM4	SUCCESS	Purge: TXABORT TXCLEAR	
22	15:28:48.135	0.00169540	Mobile Partner	IRP_MJ_CLOSE                        	COM4	SUCCESS	Port Closed	
23	15:28:48.259	0.00702980	Mobile Partner	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
24	15:28:48.266	0.00001340	Mobile Partner	IOCTL_SERIAL_SET_QUEUE_SIZE         	COM4	SUCCESS	InSize: 4096, OutSize: 4096	
28	15:28:48.266	0.00000860	Mobile Partner	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 115200	
29	15:28:48.266	0.00000670	Mobile Partner	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
30	15:28:48.266	0.00000550	Mobile Partner	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
31	15:28:48.266	0.00000500	Mobile Partner	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
32	15:28:48.266	0.00000450	Mobile Partner	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x0, XoffChar: 0x0	
33	15:28:48.266	0.00000440	Mobile Partner	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 0	
34	15:28:48.281	0.00015650	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 3, Data: AT.	
35	15:28:48.284	0.00000660	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 9, Data: AT...OK..	
36	15:28:48.306	0.00015760	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CMEE=1.	
37	15:28:48.309	0.00000600	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 16, Data: AT+CMEE=1...OK..	
38	15:28:48.331	0.00018360	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 5, Data: ATE0.	
39	15:28:48.334	0.00000660	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 11, Data: ATE0...OK..	
40	15:28:48.367	0.00016260	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
41	15:28:48.370	0.00000620	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
42	15:28:48.392	0.00016730	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT+CFUN?.	
43	15:28:48.395	0.00000610	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CFUN: 1....OK..	
44	15:28:48.417	0.00015030	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
45	15:28:48.420	0.00000840	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
46	15:28:48.453	0.00017380	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 11, Data: AT^FPLOCK?.	
47	15:28:48.456	0.00001020	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
48	15:28:48.478	0.00027450	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT^HS=0,0.	
49	15:28:48.495	0.00001590	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 31, Data: ..^HS:43077466,0,0,0,20....OK..	
50	15:28:48.514	0.00016970	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
51	15:28:48.517	0.00000710	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
52	15:28:48.539	0.00032870	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
53	15:28:48.542	0.00000790	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
54	15:28:48.575	0.00030140	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
55	15:28:48.578	0.00000790	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
56	15:28:48.600	0.00019680	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
57	15:28:48.603	0.00000640	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
58	15:28:48.625	0.00019840	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT+CPIN?.	
59	15:28:48.628	0.00000920	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 22, Data: ..+CPIN: READY....OK..	
60	15:28:48.650	0.00015850	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 8, Data: AT+CIMI.	
61	15:28:48.653	0.00000850	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 25, Data: ..250026959926005....OK..	
62	15:28:48.686	0.00011910	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
63	15:28:48.703	0.00000700	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
64	15:28:48.722	0.00021980	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
65	15:28:48.725	0.00000610	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
66	15:28:48.747	0.00016220	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 12, Data: AT^REALNAME.	
67	15:28:48.750	0.00000800	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
68	15:28:48.783	0.00017930	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
69	15:28:48.786	0.00000660	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
70	15:28:48.808	0.00019640	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 8, Data: AT+CGMM.	
71	15:28:48.811	0.00004010	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 14, Data: ..E173....OK..	
72	15:28:48.833	0.00014220	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
73	15:28:48.836	0.00000760	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
74	15:28:48.858	0.00019450	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^CARDLOCK?.	
75	15:28:48.861	0.00000640	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 27, Data: ..^CARDLOCK: 2,10,0....OK..	
76	15:28:48.894	0.00016200	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
77	15:28:48.897	0.00000650	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
78	15:28:48.920	0.00018250	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
79	15:28:48.923	0.00000630	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
80	15:28:48.951	0.00011480	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
81	15:28:48.954	0.00000910	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
82	15:28:48.976	0.00026030	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^HWNATQRY?.	
83	15:28:48.979	0.00000750	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
84	15:28:49.050	0.00019270	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
85	15:28:49.067	0.00000680	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
86	15:28:49.086	0.00018920	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
87	15:28:49.103	0.00000760	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
88	15:28:49.133	0.00013130	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
89	15:28:49.150	0.00000880	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
90	15:28:49.180	0.00023390	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 12, Data: AT^IPV6CAP?.	
91	15:28:49.183	0.00000780	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
92	15:28:49.205	0.00013170	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
93	15:28:49.208	0.00000840	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
94	15:28:49.230	0.00017220	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
95	15:28:49.233	0.00001040	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
96	15:28:49.266	0.00018460	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^SYSINFOEX.	
97	15:28:49.269	0.00000590	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
98	15:28:49.302	0.00011340	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT^DSFLOWRPT=0.	
99	15:28:49.305	0.00000720	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
100	15:28:49.327	0.00018600	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT^CPIN?.	
101	15:28:49.330	0.00000990	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 33, Data: ..^CPIN: READY,,10,3,10,3....OK..	
102	15:28:49.352	0.00013360	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 13, Data: AT^SYSINFOEX.	
103	15:28:49.355	0.00000860	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
104	15:28:49.388	0.00021160	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
105	15:28:49.391	0.00000700	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
106	15:28:49.413	0.00020350	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
107	15:28:49.416	0.00000590	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
108	15:28:49.438	0.00025510	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 11, Data: AT^SYSINFO.	
109	15:28:49.441	0.00000630	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 31, Data: ..^SYSINFO:2,1,0,3,1,,3....OK..	
110	15:28:49.463	0.00020590	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CLIP=1.	
111	15:28:49.466	0.00001300	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
112	15:28:49.499	0.00000000	Mobile Partner	IRP_MJ_WRITE                        	COM4		Length: 14, Data: AT^HWNATQRY=?.	
113	15:28:49.502	0.00000760	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 23, Data: ..COMMAND NOT SUPPORT..	
114	15:28:49.524	0.00020820	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 11, Data: AT^SYSINFO.	
115	15:28:49.527	0.00000690	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 31, Data: ..^SYSINFO:2,1,0,3,1,,3....OK..	
116	15:28:49.549	0.00012110	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 15, Data: AT+CLCK="SC",2.	
117	15:28:49.552	0.00000710	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 18, Data: ..+CLCK: 0....OK..	
118	15:28:49.574	0.00019690	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 10, Data: AT+CREG=1.	
119	15:28:49.577	0.00000660	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 6, Data: ..OK..	
120	15:28:49.610	0.00013170	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT+CPMS?.	
121	15:28:49.613	0.00000630	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 46, Data: ..+CPMS: "SM",0,15,"SM",0,15,"SM",0,15....OK..	
122	15:28:49.635	0.00017730	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 9, Data: AT^CPIN?.	
123	15:28:49.638	0.00000810	Mobile Partner	IRP_MJ_READ                         	COM4	SUCCESS	Length: 33, Data: ..^CPIN: READY,,10,3,10,3....OK..	
124	15:28:49.660	0.00012310	Mobile Partner	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 11, Data: AT+CGREG=1.	
